u,v,sim,source
Q132P__bottom,Q135P__bottom,0.5413568128185298,3_личное_содержание
Q132P__bottom,Q136P__bottom,0.5782340254577748,3_личное_содержание
Q132P__bottom,Q137P__bottom,0.6049624391318178,3_личное_содержание
Q132P__bottom,Q138P__bottom,0.5500109695047767,3_личное_содержание
Q132P__top,Q136P__top,0.5405009521019482,3_личное_содержание
Q132P__top,Q137P__top,0.5338424322914196,3_личное_содержание
Q133P__bottom,Q137P__bottom,0.5728057941226847,3_личное_содержание
Q134P__bottom,Q135P__bottom,0.7640164134232551,3_личное_содержание
Q134P__bottom,Q136P__bottom,0.7339817528108569,3_личное_содержание
Q134P__bottom,Q137P__bottom,0.6561154876959311,3_личное_содержание
Q134P__bottom,Q138P__bottom,0.7471273587743398,3_личное_содержание
Q134P__middle,Q135P__middle,0.5158343040186372,3_личное_содержание
Q135P__bottom,Q136P__bottom,0.7436043553475119,3_личное_содержание
Q135P__bottom,Q137P__bottom,0.6509150885281084,3_личное_содержание
Q135P__bottom,Q138P__bottom,0.7890883562330759,3_личное_содержание
Q135P__middle,Q138P__middle,0.5541058790969834,3_личное_содержание
Q136P__bottom,Q137P__bottom,0.7137821865766146,3_личное_содержание
Q136P__bottom,Q138P__bottom,0.7781024267510754,3_личное_содержание
Q136P__top,Q137P__top,0.6134514368112061,3_личное_содержание
Q137P__bottom,Q138P__bottom,0.7057957169015205,3_личное_содержание
Q139P,Q140P,0.6911048940328823,3_личное_содержание
Q142P__bottom,Q143P__bottom,0.668419313162876,3_личное_содержание
Q142P__bottom,Q146P__bottom,0.548198237756506,3_личное_содержание
Q142P__bottom,Q147P__bottom,0.5307752636012432,3_личное_содержание
Q142P__middle,Q143P__middle,0.5033085934006974,3_личное_содержание
Q142P__top,Q143P__top,0.6848879881689215,3_личное_содержание
Q142P__top,Q146P__top,0.5842848304179088,3_личное_содержание
Q142P__top,Q147P__top,0.5769961977186312,3_личное_содержание
Q142P__top,Q148P__top,0.6015747047428607,3_личное_содержание
Q143P__bottom,Q146P__bottom,0.5652360656820961,3_личное_содержание
Q143P__bottom,Q147P__bottom,0.5651758975877843,3_личное_содержание
Q146P__bottom,Q147P__bottom,0.789357051787991,3_личное_содержание
Q146P__middle,Q147P__middle,0.602626562169032,3_личное_содержание
Q149__c2,Q150__c2,0.5030729932657326,3_личное_содержание
Q152__c1,Q156__c1,0.6068441524416051,3_личное_содержание
Q158__bottom,Q159__bottom,0.5743068023139837,3_личное_содержание
Q158__middle,Q159__middle,0.6808879733282737,3_личное_содержание
Q158__top,Q159__top,0.7584906662418014,3_личное_содержание
Q158__top,Q163__top,0.5624704821604912,3_личное_содержание
Q159__top,Q163__top,0.5719908801514239,3_личное_содержание
Q160__bottom,Q161__bottom,0.5599021039750524,3_личное_содержание
Q160__top,Q161__top,0.5205158264947245,3_личное_содержание
Q164__bottom,Q169P__bottom,0.5520222656481317,3_личное_содержание
Q164__bottom,Q172P__bottom,0.5054991991457555,3_личное_содержание
Q165P,Q166P,0.7593073593073593,3_личное_содержание
Q165P,Q168P,0.8191269385410683,3_личное_содержание
Q169P__bottom,Q170P__bottom,0.5972907697154258,3_личное_содержание
Q169P__middle,Q170P__middle,0.6033502329405317,3_личное_содержание
Q169P__top,Q171P__top,0.5004185657148172,3_личное_содержание
Q171P__bottom,Q172P__bottom,0.666685368043088,3_личное_содержание
Q171P__top,Q172P__top,0.5481895633652822,3_личное_содержание
Q174__c2,Q175__c2,0.7779237629128414,3_личное_содержание
Q177__bottom,Q178__bottom,0.7892887582404202,3_личное_содержание
Q177__bottom,Q179__bottom,0.6969388543894457,3_личное_содержание
Q177__bottom,Q180__bottom,0.7248238826654348,3_личное_содержание
Q177__bottom,Q181__bottom,0.706757919647179,3_личное_содержание
Q177__bottom,Q190__bottom,0.6870849848149483,3_личное_содержание
Q177__middle,Q178__middle,0.5486533274286405,3_личное_содержание
Q178__bottom,Q179__bottom,0.7319453566268226,3_личное_содержание
Q178__bottom,Q180__bottom,0.7672769013421239,3_личное_содержание
Q178__bottom,Q181__bottom,0.7352409143233021,3_личное_содержание
Q178__bottom,Q183__bottom,0.6965477815070261,3_личное_содержание
Q178__bottom,Q190__bottom,0.6886910124038528,3_личное_содержание
Q179__bottom,Q180__bottom,0.8517849594589402,3_личное_содержание
Q179__bottom,Q181__bottom,0.9015088496141491,3_личное_содержание
Q179__bottom,Q187__bottom,0.7535631766141385,3_личное_содержание
Q179__bottom,Q189__bottom,0.9031531531531531,3_личное_содержание
Q179__bottom,Q191__bottom,0.8758426606971538,3_личное_содержание
Q179__bottom,Q192__bottom,0.9109781751249014,3_личное_содержание
