u,v,sim
Q184__bottom,Q165P,0.6423684317912863
Q184__bottom,Q166P,0.646868743633873
Q184__bottom,Q167P,0.6534241118313837
Q184__bottom,Q168P,0.6781238633733426
Q184__bottom,Q170P__top,0.5318871546010937
Q184__bottom,Q180__bottom,0.6433248505990335
Q184__bottom,Q181__bottom,0.633349306498416
Q184__bottom,Q183__bottom,0.7338391337413537
Q184__bottom,Q185__bottom,0.5735523123166625
Q184__bottom,Q186__bottom,0.6450403795313802
Q184__bottom,Q187__bottom,0.7481568205550106
Q184__bottom,Q188__bottom,0.7457357041972984
Q184__bottom,Q189__bottom,0.6343369736859565
Q184__bottom,Q191__bottom,0.6364817269963708
Q184__bottom,Q193__bottom,0.733694274435954
Q184__bottom,Q194__bottom,0.6362849766241016
Q184__bottom,Q195__bottom,0.5999710281389201
Q184__bottom,Q205P__bottom,0.5444355919313367
Q184__bottom,Q209P__bottom,0.5307644949842466
Q184__bottom,Q210P__bottom,0.6647894178790565
Q184__bottom,Q211P__bottom,0.5618368159924673
Q184__bottom,Q212P__bottom,0.6584082780652106
Q184__bottom,Q214P__bottom,0.5299677688045485
Q184__bottom,Q215P__bottom,0.6336508166443342
Q184__bottom,Q216P__bottom,0.5100858291384492
Q184__bottom,Q218P__bottom,0.5751095498497085
Q184__bottom,Q22P,0.5095063919168508
Q184__bottom,Q254P__top,0.6548183826458552
Q184__bottom,Q255P__top,0.561203056531344
Q184__bottom,Q257P__top,0.5006518668742983
Q184__bottom,Q27P__top,0.58429000832941
Q184__bottom,Q28P__top,0.5032955491978416
Q184__bottom,Q45P__top,0.6258465215659291
Q184__bottom,Q5P__top,0.6499856866814571
Q184__bottom,Q6P__top,0.612573787708688
Q187__bottom,Q167P,0.6139132360851818
Q187__bottom,Q168P,0.6982406733537955
Q187__bottom,Q179__bottom,0.7393497115347878
Q187__bottom,Q180__bottom,0.7484631001057959
Q187__bottom,Q181__bottom,0.7433112371216356
Q187__bottom,Q183__bottom,0.6953453786032971
Q187__bottom,Q186__bottom,0.5820333512641205
Q187__bottom,Q188__bottom,0.7110559124133785
Q187__bottom,Q189__bottom,0.7493730012340928
Q187__bottom,Q190__bottom,0.6766762649115591
Q187__bottom,Q191__bottom,0.7554269950316714
Q187__bottom,Q192__bottom,0.7313818281923888
